;Current Best;Current Average;Current Worst;Global Best
173;3248;16096,26;49268;3246
174;3248;15092,293;50278;3246
175;3246;14191,5;39264;3246
176;3248;14072,14;46268;3246
177;3248;15089;49258;3246
178;3246;14638,113;45278;3246
179;3246;14881,667;42278;3246
180;3246;14664,707;46264;3246
181;3246;15338,134;47278;3246
182;3246;14533,813;46278;3246
183;3246;14895,514;48270;3246
184;3246;15062,894;40258;3246
185;3246;15717,854;47280;3246
186;3246;15485,106;59274;3246
187;3246;14722,74;47284;3246
188;3246;14665,507;40266;3246
189;3246;14855,14;45270;3246
190;3248;14559,547;48278;3246
191;3248;14672,92;49264;3246
192;3248;15929,427;50270;3246
193;3246;14288,927;60264;3246
194;3246;14584,32;49286;3246
195;3246;15013,873;46268;3246
196;3246;14941,627;48266;3246
197;3246;14614,14;50280;3246
198;3246;15134,193;50282;3246
199;3246;15954,1;50280;3246
200;3246;14993,5;48270;3246
201;3246;14072,84;42266;3246
202;3246;14666,98;46266;3246
203;3246;15457,687;52272;3246
204;3246;14898,273;49270;3246
205;3246;14561,187;47270;3246
206;3246;15131,767;54264;3246
207;3246;15121,373;51280;3246
208;3246;15481,52;47270;3246
209;3246;14678,06;48272;3246
210;3246;15998,16;48254;3246
211;3246;14271,72;49272;3246
212;3246;16651,846;59276;3246
213;3246;16171,167;49268;3246
214;3248;14768,486;51290;3246
215;3248;15562,434;41268;3246
216;3248;15185,6;45274;3246
217;3246;15252,26;58262;3246
218;3248;15308,127;49270;3246
219;3246;15672,073;49268;3246
220;3246;14787,12;45250;3246
221;3248;13804,8;41270;3246
222;3246;15639,526;44282;3246
223;3246;15465,84;49278;3246
224;3246;15958,773;46282;3246
225;3246;15064,007;50266;3246
226;3246;15116,92;47282;3246
227;3246;16027,02;45270;3246
228;3246;15070,894;48254;3246
229;3246;16091,1;60278;3246
230;3246;15191,033;47284;3246
231;3248;15618,273;45254;3246
232;3248;14906,167;52268;3246
233;3246;15973,267;46262;3246
234;3246;15018,88;42246;3246
235;3246;15287,387;45274;3246
236;3246;13985,014;53278;3246
237;3248;16105,94;52282;3246
238;3248;15549,026;45278;3246
239;3248;15055,173;57270;3246
240;3246;15664,34;43276;3246
241;3246;14592,04;42274;3246
242;3246;15298,16;50272;3246
243;3246;14967,78;48266;3246
244;3246;14331,273;43294;3246
245;3246;14801,58;59272;3246
246;3246;14338,62;52260;3246
247;3246;13629,94;40264;3246
248;3246;14913,406;50256;3246
249;3246;14596,134;52286;3246
250;3246;15056,366;48272;3246
251;3246;15009,46;43278;3246
252;3246;14452,127;46270;3246
253;3246;15423,026;50274;3246
254;3246;14989,22;49274;3246
255;3246;16577,293;50280;3246
256;3246;15792,813;48270;3246
257;3246;15352,554;42270;3246
258;3246;15083,847;47274;3246
259;3246;15437,526;55272;3246
260;3246;15336,88;42262;3246
261;3246;16038,533;50278;3246
