;Current Best;Current Average;Current Worst;Global Best
0;14226;35543,8;59226;50200
1;5244;27479,04;53242;14226
2;5232;23439,654;62254;5244
3;4250;18866,006;50256;5232
4;4238;17556,033;61250;4250
5;4240;18071,44;54270;4238
6;4244;18709,533;51264;4238
7;4242;19164,04;60258;4238
8;4238;19291,4;54268;4238
9;4238;18526,36;51286;4238
10;4236;19036,654;61274;4238
11;4238;19028,68;57270;4236
12;4238;17491,566;50262;4236
13;4238;18293,92;62256;4236
14;4236;17900,146;52256;4236
15;4238;17797,3;62270;4236
16;4236;18934,414;56262;4236
17;4236;18372,953;58276;4236
18;4236;18919,973;57270;4236
19;4236;18187,133;59258;4236
20;4236;17872,094;50270;4236
21;4238;17709,246;56272;4236
22;4236;17369,58;54266;4236
23;4238;18444,207;59252;4236
24;4238;17961,014;50276;4236
25;4238;16573,14;51246;4236
26;4238;18063,793;47262;4236
27;4238;18453,86;49262;4236
28;4238;18528,527;60262;4236
29;4238;17731,393;51254;4236
30;4236;17866,547;65270;4236
31;4236;18017,607;50260;4236
32;4236;17536,334;54274;4236
33;4236;18972,506;67270;4236
34;4236;18443,293;57258;4236
35;4236;18336,447;52258;4236
36;4236;18545,373;67272;4236
37;4236;18426,094;58272;4236
38;4236;18316,473;65276;4236
39;4236;19179,834;69254;4236
40;4236;17771,793;61260;4236
41;4236;19431,812;61270;4236
42;4236;18468,246;68266;4236
43;4236;19019,354;52258;4236
44;4236;19323,574;60256;4236
45;4236;18473,213;50250;4236
46;4238;17720,533;53270;4236
47;4238;16861,953;57266;4236
48;4236;18148,98;57260;4236
49;4236;18029,607;61264;4236
50;4236;17595,72;54258;4236
51;4238;19732,787;57270;4236
52;4238;18129,9;71250;4236
53;4238;17841,312;61260;4236
54;4240;17978,312;49270;4236
55;4240;18671,547;55256;4236
56;4238;17641,72;67264;4236
57;4238;17832,393;50270;4236
58;4238;17635,447;58270;4236
59;4240;19142,053;66276;4236
60;4240;17375,947;52252;4236
61;4240;18534,787;51266;4236
62;4240;17932,48;60262;4236
63;4238;18362,566;68266;4236
64;4238;18361,146;52256;4236
65;4238;17344,586;53278;4236
66;4236;17655,027;57270;4236
67;4238;18557,506;65264;4236
68;4238;17850,887;55262;4236
69;4238;19835,973;62276;4236
70;4238;17415,373;49266;4236
71;4238;17558,547;55286;4236
72;4238;18622,04;47268;4236
73;4236;18527,994;53264;4236
74;4236;18301,406;66272;4236
75;4238;18334,96;51262;4236
76;4238;18098,473;50272;4236
77;4238;18217,86;58274;4236
78;4240;17247,547;43286;4236
79;4240;18878,38;52264;4236
80;4240;19169,346;52256;4236
81;4240;17646,207;55260;4236
82;4240;18603,326;59276;4236
83;4238;18304,846;58258;4236
84;4238;17820,307;59264;4236
85;4236;18745,64;52278;4236
86;4236;18230,973;55270;4236
87;4236;18359,768;50284;4236
88;4238;19499,174;54256;4236
89;4236;18870,887;51262;4236
90;4238;18680,406;60262;4236
91;4238;18448,24;59260;4236
92;4238;18598,268;57264;4236
93;4238;17868,127;53268;4236
94;4238;19547,232;57284;4236
95;4238;18258,953;60254;4236
96;4238;19045,773;61268;4236
97;4238;18202,693;56270;4236
98;4238;17424,666;59280;4236
99;4238;17760,86;58256;4236
100;4238;18622,154;60264;4236
101;4238;19131,48;56272;4236
102;4238;18404,5;54264;4236
103;4238;19047,453;60280;4236
104;4238;18061,807;52250;4236
105;4238;18728,666;69266;4236
106;4238;17344,334;54262;4236
107;4238;18315,654;61258;4236
108;4238;18844,02;67270;4236
109;4238;18538,732;54274;4236
110;4238;18304,334;55262;4236
111;4238;18448,08;58266;4236
112;4240;18508,793;53260;4236
113;4236;18699,094;52274;4236
114;4238;18455,594;64264;4236
115;4238;17546,033;48262;4236
116;4238;17852,713;52268;4236
117;4240;18393,52;58274;4236
118;4240;18699,373;60274;4236
119;4240;17955,334;52264;4236
120;4240;18410,133;48272;4236
121;4236;16812,78;59268;4236
122;4236;17001,98;51264;4236
123;4238;17128,12;59262;4236
124;4238;17914,047;59252;4236
125;4240;17731,18;52266;4236
126;4240;17899,586;46268;4236
127;4240;18458,754;54276;4236
128;4236;17825,2;51258;4236
129;4236;17190,312;43262;4236
130;4238;17651,207;66270;4236
131;4236;17317,88;50258;4236
132;4236;18297,707;50256;4236
133;4238;17549,973;50266;4236
134;4238;18038,434;48270;4236
135;4240;17168,334;59262;4236
136;4238;17838,566;68278;4236
137;4238;17247,326;58272;4236
138;4240;17441,273;61278;4236
139;4240;18122,3;63270;4236
140;4238;18809,84;51280;4236
141;4238;18440,053;63272;4236
142;4236;17892,826;58246;4236
143;4236;17528,527;50270;4236
144;4236;18094,232;52266;4236
145;4236;17568,906;56264;4236
146;4236;18918,46;60256;4236
147;4236;18091,84;53266;4236
148;4238;17362,254;51260;4236
149;4236;18810,86;56274;4236
150;4238;18291,086;59260;4236
151;4238;20095,12;65272;4236
152;4238;19071,207;60272;4236
153;4238;18154,713;59266;4236
154;4236;19400,6;60288;4236
155;4236;19418,346;51270;4236
156;4238;17265,727;60268;4236
157;4238;18943,646;55248;4236
158;4238;18963,38;60284;4236
159;4240;18258,688;51252;4236
160;4238;17095,633;46266;4236
161;4240;17895,58;49272;4236
162;4238;17659,06;51264;4236
163;4236;20047,947;60268;4236
164;4236;17726,506;56262;4236
165;4236;19354,32;55276;4236
166;4236;18023,732;52264;4236
167;4236;18980,36;51266;4236
168;4236;18458,46;56268;4236
169;4236;18824,64;60268;4236
170;4238;18039,627;50244;4236
171;4238;19014,3;53258;4236
172;4236;18957,32;52258;4236
173;4238;18469,594;59266;4236
174;4238;19787,207;85256;4236
175;4236;18903,613;60268;4236
176;4236;19473,52;58246;4236
177;4236;20084,133;57264;4236
178;4236;19059,926;57270;4236
179;4236;18459,086;58262;4236
180;4236;18648,74;48260;4236
181;4236;19819,553;63274;4236
182;4236;18710,387;51266;4236
183;4238;19706,42;58266;4236
184;4236;17722,807;62272;4236
185;4238;19005,373;53272;4236
186;4238;18286,986;60268;4236
187;4236;18423,9;53266;4236
188;4236;17906,514;51258;4236
189;4236;17368,914;49258;4236
190;4238;18566,107;66266;4236
191;4238;18218,014;53274;4236
192;4240;18514,746;57274;4236
193;4238;17678,52;52276;4236
194;4238;17048,514;63274;4236
195;4238;17597,62;56264;4236
196;4238;18900,7;66270;4236
197;4238;18767,7;61262;4236
198;4238;18228,1;67268;4236
199;4238;18533,834;51258;4236
200;4240;18811,447;48266;4236
201;4240;18486,006;52258;4236
202;4238;19412,32;55270;4236
203;4238;18096,06;59280;4236
204;4240;18046,42;53262;4236
205;4238;18309,854;56276;4236
206;4236;17008,707;52282;4236
207;4236;18038,594;62274;4236
208;4236;19315,033;51272;4236
209;4236;18320,773;54266;4236
