;Current Best;Current Average;Current Worst;Global Best
0;10238;36537,125;61218;50200
1;4238;26191,594;59276;10238
2;4238;20253,533;54274;4238
3;4240;18298,926;53274;4238
4;4242;16278,46;52268;4238
5;4242;16538,506;48270;4238
6;4238;15987,253;46274;4238
7;4236;17424,773;49274;4238
8;4236;16401,053;48282;4236
9;4238;17633,273;56264;4236
10;4238;18027,074;52274;4236
11;4240;16879,826;49270;4236
12;4240;17997,934;58266;4236
13;4240;16982,346;43262;4236
14;4240;16789,754;44276;4236
15;4240;17135,973;49266;4236
16;3266;16596,553;58268;4236
17;3260;17124,107;51268;3266
18;3254;14598,28;45288;3260
19;3254;14767,667;43278;3254
20;3254;13703,52;48286;3254
21;3254;13210,547;45278;3254
22;3252;12874,767;43264;3254
23;3252;16336,167;52274;3252
24;3250;15115,313;50280;3252
25;3248;15091,18;55262;3250
26;3248;15107,813;47282;3248
27;3248;14269,727;38278;3248
28;3248;15072,4;52266;3248
29;3248;14414,753;49270;3248
30;3248;14686,087;45272;3248
31;3248;14915,38;42266;3248
32;3248;14232,94;49280;3248
33;3248;13969,213;48276;3248
34;3246;15654,793;48278;3248
35;3246;16530,074;56280;3246
36;3246;14316,467;51270;3246
37;3246;14982,4;52258;3246
38;3246;14280,94;45270;3246
39;3246;14827,347;48270;3246
40;3246;14610,787;54292;3246
41;3246;14874,514;51272;3246
42;3246;14373,887;48270;3246
43;3246;14764,446;47272;3246
44;3246;14776,953;49268;3246
45;3246;13803,167;45270;3246
46;3246;14743,934;48280;3246
47;3246;14256,667;56276;3246
48;3246;14555,807;66268;3246
49;3246;14950,007;48274;3246
50;3246;14270,813;51254;3246
51;3246;13963,366;56274;3246
52;3246;15730,5;53282;3246
53;3246;15804,16;45276;3246
54;3246;14657,526;47264;3246
55;3246;14518,467;48264;3246
56;3246;15430,94;47268;3246
57;3246;15000,047;56266;3246
58;3246;14709,873;44274;3246
59;3246;15053,227;51284;3246
60;3246;15243,993;49270;3246
61;3246;15403,82;49260;3246
62;3246;14916,82;47274;3246
63;3246;15577,767;47272;3246
64;3246;14721,82;44270;3246
65;3246;15021,34;48274;3246
66;3246;15449,014;47268;3246
67;3246;15024,606;45276;3246
68;3248;15908,627;49256;3246
69;3248;14996,66;49280;3246
70;3248;14500,467;47278;3246
71;3248;15080,406;50270;3246
72;3248;14902,193;54252;3246
73;3248;14649,094;46266;3246
74;3248;15536,94;48278;3246
75;3246;15400,42;50276;3246
76;3248;14669,46;46274;3246
77;3248;14432,92;40262;3246
78;3246;14865,833;40274;3246
79;3248;15468,8;47264;3246
80;3248;15046,04;48274;3246
81;3248;13799,72;39286;3246
82;3248;14642,373;47284;3246
83;3248;14155,333;41248;3246
84;3248;15402,6;56280;3246
85;3248;14164,446;49274;3246
86;3248;14461,94;45290;3246
87;3246;14504,753;47280;3246
88;3246;15355,693;47272;3246
89;3248;15171,42;42278;3246
90;3248;14832,253;46280;3246
91;3246;15718,953;52284;3246
92;3248;16568,947;53276;3246
93;3248;14700,026;43278;3246
94;3248;16073,946;41280;3246
95;3248;15550,573;51274;3246
96;3248;15472,394;53276;3246
97;3248;15151,986;50274;3246
98;3248;14395,26;56278;3246
99;3248;15122,113;49270;3246
100;3248;13555,087;39280;3246
101;3248;14991,92;47280;3246
102;3248;16374,193;53274;3246
103;3248;15057,2;50270;3246
104;3248;13617,247;46284;3246
105;3248;14796,98;48268;3246
106;3248;15343,993;46270;3246
107;3250;13920,153;46262;3246
108;3248;14656,66;49274;3246
109;3248;14616,36;50260;3246
110;3248;14659,913;47284;3246
111;3248;14686,48;50278;3246
112;3248;13969,047;42292;3246
113;3248;14484,094;48270;3246
114;3248;13697,02;54274;3246
115;3246;14743,787;48282;3246
116;3248;14644,427;49262;3246
117;3250;14624,14;40274;3246
118;3250;15244,413;50268;3246
119;3248;15132,566;46276;3246
120;3250;14415,927;44284;3246
121;3246;14626,207;48274;3246
122;3248;13845,094;48294;3246
123;3248;14901,953;42288;3246
124;3250;15551,12;48294;3246
125;3250;15454,26;49270;3246
126;3250;14449,747;51276;3246
127;3250;15683,213;49264;3246
128;3250;14956,873;46268;3246
129;3246;15138,96;51278;3246
130;3246;15418,287;57262;3246
131;3248;14988,253;48280;3246
132;3248;14840,953;52282;3246
133;3246;14115,127;48256;3246
134;3246;15129,193;45266;3246
135;3246;14319,247;47264;3246
136;3246;14430,42;53284;3246
137;3246;15631,673;52264;3246
138;3246;15047,927;42280;3246
139;3246;15817,653;50268;3246
140;3246;14814,327;48272;3246
141;3246;13493,233;48256;3246
142;3246;15113,52;51262;3246
143;3246;14929,833;48272;3246
144;3246;14675,974;42276;3246
145;3246;15423,6;42272;3246
146;3246;14339,667;46282;3246
147;3246;15588,08;49266;3246
148;3246;14413,793;45280;3246
149;3246;15123,4;55264;3246
150;3246;15217,026;43272;3246
151;3246;15063,98;49266;3246
152;3246;14069,887;50276;3246
153;3246;14967,007;46270;3246
154;3246;15804,12;52270;3246
155;3246;15831,16;53270;3246
156;3246;16294,946;48262;3246
157;3248;15068,4;42272;3246
158;3248;14568,747;41266;3246
159;3248;14457,62;45272;3246
160;3246;15129,4;49272;3246
161;3248;15753,627;48276;3246
