0; 100_200_0.72_0.3_10;5238;;;;;
1; 100_200_0.72_0.3_10;4282;;;;;
2; 100_200_0.72_0.3_10;5246;;;;;
3; 100_200_0.72_0.3_10;7286;;Best;Avg;Worst;Std
4; 100_200_0.72_0.3_10;5256;;4282;5461,6;7286;985,7629735
