;Current Best;Current Average;Current Worst;Global Best
0;15276;45823,215;86264;50200
1;9294;33647,82;61310;15276
2;9314;30378,006;59306;9294
3;8328;26881,887;54328;9294
4;7344;26805,793;66304;8328
5;8320;27118,02;57348;7344
6;4356;25625,666;49322;7344
7;6358;24776,666;50398;4356
8;7364;24641,074;58368;4356
9;7362;21761,28;47362;4356
10;4364;21734,707;49468;4356
11;4360;20394,768;47482;4356
12;6360;18908,92;44370;4356
13;5342;18402,693;44378;4356
14;5356;18904,627;49976;4356
15;5360;19408,56;48362;4356
16;4332;19525,033;42356;4356
17;5374;19576,76;45372;4332
18;4390;20424,826;54342;4332
19;5362;19572,586;46772;4332
20;5358;19192,732;40380;4332
21;5364;19499,953;49362;4332
22;5364;19148,627;42394;4332
23;6364;20469,246;46396;4332
24;5362;19189,693;47406;4332
25;5362;20904,92;43390;4332
26;6348;20219,254;46386;4332
27;5358;19727,34;62368;4332
28;5362;19852,268;42374;4332
29;5394;18976,193;45348;4332
30;4346;18979,447;43890;4332
31;5362;18277,7;57320;4332
32;5354;18887,574;44378;4332
33;5344;20856,154;50350;4332
34;6346;19452,8;52362;4332
35;6368;20734,133;58894;4332
36;6364;21004,56;49384;4332
37;5384;21904,66;45394;4332
38;5350;21437,174;55368;4332
39;4372;23168,566;51378;4332
40;6482;20194,586;47346;4332
41;4368;20219,98;46500;4332
42;5372;19612,66;51376;4332
43;5362;21396,986;47386;4332
44;6394;22116,48;50488;4332
45;4400;22358,44;47402;4332
46;5366;20096,926;48292;4332
47;5358;19548,9;44386;4332
48;5370;20299,02;56370;4332
49;5384;19605,547;44370;4332
50;4376;18724,107;53362;4332
51;4360;18687,613;40474;4332
52;5374;19964,834;49386;4332
53;4360;19394,307;59386;4332
54;5380;19343,646;39378;4332
55;4378;19533,967;42484;4332
56;5370;19594,947;49396;4332
57;4414;19484,98;45892;4332
58;5330;19649,627;46616;4332
59;5354;20322,82;41610;4332
60;4344;18546,086;46348;4332
61;4320;18972,914;49732;4332
62;4336;17753,06;42346;4320
63;4320;18336,06;40384;4320
64;4338;18083,373;44352;4320
65;4332;17829,727;43266;4320
66;6334;20427,127;46360;4320
67;6338;18526,334;46882;4320
68;6344;20578,96;51056;4320
69;5348;19587,033;45358;4320
70;5366;20821,867;50376;4320
71;5340;21254,113;49346;4320
72;4342;19653,64;44368;4320
73;7368;22599,14;47366;4320
74;6382;21809,727;49360;4320
75;4366;20761,82;40390;4320
76;5374;20068,693;50788;4320
77;4392;20229,793;41392;4320
78;4388;18278,793;44402;4320
79;4362;18679,58;41366;4320
80;4434;18666,387;43884;4320
81;4388;19817,086;47378;4320
82;4384;18996,334;42406;4320
