;Current Best;Current Average;Current Worst;Global Best
0;8242;36964,32;61234;50200
1;5232;26024,973;62264;8242
2;4256;18499,826;60260;5232
3;4240;17818,227;46262;4256
4;4242;19544,893;59270;4240
5;4242;17372,154;56280;4240
6;4240;16275,427;42268;4240
7;4240;18042,426;50270;4240
8;4240;17056,78;52272;4240
9;4240;16922,986;52266;4240
10;4240;17386,627;56268;4240
11;4240;16296,753;47280;4240
12;4240;16896,793;53260;4240
13;4240;18257,06;52278;4240
14;4242;16250,627;45268;4240
15;4240;16512,627;52268;4240
16;4240;16808,707;49256;4240
17;4242;17186,166;51266;4240
18;4242;17038;58266;4240
19;4242;15997,78;49264;4240
20;4242;17054,98;58274;4240
21;4242;17270,293;53262;4240
22;4240;17456,893;53270;4240
23;4240;17098,287;46274;4240
24;4240;17748,812;52268;4240
25;4242;17029,62;68254;4240
26;4242;17162,768;59266;4240
27;4242;17823,246;50268;4240
28;4240;17017,188;50274;4240
29;4240;17879,58;62272;4240
30;4242;17519,62;53264;4240
31;4242;17346,46;57274;4240
32;4242;17316,426;54258;4240
33;4240;17993,934;50280;4240
34;4242;17033,486;49262;4240
35;4242;16573,5;47280;4240
36;4242;17020,094;57268;4240
37;4240;17579,627;49264;4240
38;4240;17126,2;50266;4240
39;4240;16268,547;50268;4240
40;4240;17299,453;49250;4240
41;4240;17049,14;50266;4240
42;4240;16843,48;41270;4240
43;4240;15728,753;56268;4240
44;4240;17392,066;59280;4240
45;4240;16194,793;49270;4240
46;4240;16341,253;51280;4240
47;4240;16517,033;48264;4240
48;4242;18275,113;50258;4240
49;3250;16317,6;48256;4240
50;3250;16881,926;61270;3250
51;3248;15982,26;42280;3250
52;3250;12777,486;49286;3248
53;3250;12330,227;45268;3248
54;3250;12771,227;40276;3248
55;3250;12978,047;40266;3248
56;3250;13324,24;46272;3248
57;3248;13548,866;52296;3248
58;3250;14720,547;49280;3248
59;3250;14086,434;53278;3248
60;3250;14030,927;41276;3248
61;3248;13567,793;39266;3248
62;3246;14392,594;49268;3248
63;3248;14640,72;49268;3246
64;3248;14554,613;41274;3246
65;3248;14398,18;47294;3246
66;3246;14695,587;47270;3246
67;3248;14941,84;40274;3246
68;3248;14338,4;48268;3246
69;3248;14495,173;48266;3246
70;3248;14445,054;47274;3246
71;3248;13384,52;40262;3246
72;3246;14358,113;52268;3246
73;3246;14718,78;51280;3246
74;3248;13597,78;52264;3246
75;3248;14835,02;39266;3246
76;3248;14571,773;48272;3246
77;3248;14695,12;49286;3246
78;3248;14978,387;46288;3246
79;3248;15417,927;47264;3246
80;3246;14373,967;43264;3246
81;3248;13977,747;46272;3246
82;3248;15215,827;50258;3246
83;3248;14412,2;51284;3246
84;3248;15222,986;48264;3246
85;3248;14100,054;47268;3246
86;3248;14838,533;53278;3246
87;3248;15655,747;45282;3246
88;3248;14109,887;47278;3246
89;3248;15333,427;44280;3246
90;3248;13748,22;47258;3246
91;3248;14149,26;44276;3246
92;3248;15093,167;40268;3246
93;3248;15760,153;44274;3246
94;3250;14444,453;51272;3246
95;3250;13957,113;48288;3246
96;3250;14731,333;41274;3246
97;3250;14684,167;43274;3246
98;3250;15285,094;42276;3246
99;3250;15383,134;48284;3246
100;3250;14843,56;39282;3246
101;3250;15574,72;41282;3246
102;3250;14523,767;47262;3246
103;3250;15533,113;49284;3246
104;3250;13819,474;48280;3246
105;3250;13989,26;45280;3246
106;3250;14553,173;51274;3246
107;3250;14648,72;50270;3246
108;3250;15030,127;44268;3246
109;3250;14233,18;45272;3246
110;3250;14819,38;52270;3246
111;3250;15683,56;50282;3246
112;3250;14066,02;45266;3246
113;3250;15585,474;45272;3246
114;3248;14012,526;43276;3246
115;3248;15472,807;47270;3246
116;3250;15022,434;42280;3246
117;3250;14292,333;44272;3246
118;3250;15770,96;43282;3246
119;3250;14873,88;51272;3246
120;3250;14199,753;46270;3246
121;3250;14817;46272;3246
122;3250;14973,906;51278;3246
123;3250;14526,84;48272;3246
124;3250;14820,927;44274;3246
125;3250;14608,474;51288;3246
126;3250;15137,127;49266;3246
127;3250;14209,094;48270;3246
128;3250;15066,033;49278;3246
129;3250;13199,213;52276;3246
130;3250;14762,667;49256;3246
131;3248;16249,793;49260;3246
132;3250;14085,854;47270;3246
133;3250;14679,807;43278;3246
134;3250;14132,833;44280;3246
135;3250;14662,587;52272;3246
136;3250;14232,1;48264;3246
137;3250;15792,807;43280;3246
138;3248;13739,474;40258;3246
139;3248;15169,007;50278;3246
140;3248;15455,26;50276;3246
141;3248;14498,747;40280;3246
142;3248;14182,26;47272;3246
143;3248;14888,887;43270;3246
144;3248;14178,84;45270;3246
145;3248;14663,273;49282;3246
146;3246;15063,427;52272;3246
147;3248;14775,94;45276;3246
148;3246;14771,514;36280;3246
149;3248;14181,906;47254;3246
150;3248;14594,906;52276;3246
151;3248;13381,173;44272;3246
152;3246;14141,747;48266;3246
153;3246;13877,827;38260;3246
154;3248;14445,866;49280;3246
155;3248;14898,76;46288;3246
156;3248;14858,62;47282;3246
157;3246;13551,36;44270;3246
158;3248;14510,953;52270;3246
159;3248;14877,153;50264;3246
160;3248;15045,26;49268;3246
161;3248;15118,793;52262;3246
162;3248;14308,413;50256;3246
163;3248;14957,9;50270;3246
164;3248;14208,653;42262;3246
165;3248;14591,613;53268;3246
166;3248;14171,167;48270;3246
167;3248;13775,047;40272;3246
168;3248;14565,094;48270;3246
169;3248;13687,653;49278;3246
170;3248;14964,507;40276;3246
171;3248;14620,113;51284;3246
172;3248;15017,96;49270;3246
173;3248;15435,813;44276;3246
174;3248;14856,48;57272;3246
175;3248;14462,1;48254;3246
176;3248;14675,6;49280;3246
177;3248;14121,5;48276;3246
178;3250;13330,753;48276;3246
179;3250;14900,087;41268;3246
180;3250;14919,873;49286;3246
181;3248;13760,24;43272;3246
182;3248;14049,613;49274;3246
183;3248;13845,76;57278;3246
184;3248;14744,667;45280;3246
185;3248;16280,087;49256;3246
186;3246;14778;49266;3246
187;3246;14734,453;47284;3246
188;3246;14894,366;43272;3246
189;3246;14432,653;41272;3246
190;3246;13891,32;47262;3246
191;3246;15437,486;45266;3246
192;3246;14750,82;51270;3246
193;3248;15095,253;42268;3246
194;3248;14498,606;48272;3246
195;3248;14841,833;55274;3246
196;3248;15435,82;47280;3246
197;3248;14822,007;50268;3246
198;3248;15722,894;48276;3246
199;3248;14117,427;42280;3246
200;3250;14637,52;45274;3246
201;3250;14257,7;41276;3246
202;3248;15431,253;51278;3246
203;3248;14493,08;43264;3246
204;3248;14019,913;41274;3246
205;3248;14208,953;45288;3246
206;3248;14494,733;51266;3246
207;3248;15458,413;49280;3246
208;3246;14271,566;45264;3246
209;3246;14289,787;44272;3246
210;3248;15677,38;52268;3246
211;3248;16641,96;49270;3246
212;3248;15007,493;56256;3246
213;3248;14740,173;45272;3246
214;3246;15533,14;50268;3246
215;3246;15027,347;47272;3246
216;3246;13927,86;43280;3246
217;3246;14294,427;46268;3246
218;3246;14474,04;49266;3246
219;3246;14524,146;41274;3246
220;3246;13449,646;49260;3246
221;3246;14640,88;55280;3246
222;3246;14037,427;49280;3246
223;3248;15278,026;50280;3246
224;3248;14468,18;43282;3246
225;3248;14774,946;47274;3246
226;3248;14610,747;46266;3246
227;3248;14874,106;53282;3246
