;Current Best;Current Average;Current Worst;Global Best
0;5238;36664,28;61232;50200
1;13242;33704,06;62258;5238
2;5242;35227,72;64276;5238
3;7264;37136,3;70276;5238
4;11258;39532,92;77292;5238
5;16276;41261,547;77294;5238
6;16274;43143,46;72296;5238
7;10282;44391,32;75290;5238
8;9282;46125,234;79320;5238
9;20290;49254,64;86326;5238
10;21324;49074,215;87306;5238
11;15290;50468,367;86336;5238
12;25326;50575,273;92330;5238
13;20314;51809,76;83350;5238
14;26304;52668,215;84346;5238
15;20328;53666,18;91346;5238
16;23292;56772,105;93358;5238
17;28336;56260,04;89354;5238
18;29332;57555,273;104422;5238
19;27326;59019,246;109428;5238
20;24308;59805,027;117428;5238
21;16312;60145,793;109414;5238
22;15308;60870,98;99420;5238
23;31344;60743,64;93456;5238
24;30320;60893,133;91438;5238
25;28326;60193,14;103468;5238
26;25362;60431,16;107468;5238
27;22344;60341,48;108486;5238
28;21344;60568,08;100442;5238
29;28336;61525,508;103438;5238
30;30376;62587,387;111818;5238
31;33348;63757,06;112402;5238
32;32374;65096,48;110248;5238
33;34398;64951,125;102562;5238
34;31360;65504,773;101388;5238
35;32374;65223,465;98944;5238
36;38348;66041,28;101384;5238
37;37354;66769,85;115434;5238
38;27340;67190,85;113430;5238
39;27348;67893,48;116734;5238
40;35680;67343,04;105892;5238
41;36682;67575,54;105928;5238
42;36684;67563,75;104424;5238
43;36390;67964,46;104484;5238
44;35382;68501,22;108506;5238
45;38432;70049,555;106504;5238
46;39396;69774,62;108450;5238
47;33396;71570,92;118534;5238
48;42388;72135,695;115610;5238
49;41376;72301,05;121602;5238
50;42356;73110,75;116828;5238
51;35402;73252,62;112450;5238
52;37426;73459,55;117698;5238
53;35414;73759,57;109408;5238
54;39396;74180,12;111434;5238
55;41404;74699,734;108468;5238
56;46528;75442,73;112454;5238
57;45400;77054,375;112902;5238
58;46394;76808,34;113434;5238
59;45426;77905,23;116598;5238
60;39408;79966,34;116590;5238
61;41422;80617,07;132146;5238
62;46896;80505,164;114712;5238
63;47954;81313,98;120312;5238
64;45980;83259,15;117078;5238
65;45970;81618,7;125684;5238
66;47788;83528,41;118790;5238
67;43776;83795,88;126028;5238
68;38958;84046,125;124492;5238
69;40366;85069,2;138156;5238
70;46866;84558,71;122032;5238
71;51472;84592,03;135830;5238
72;51420;85543,95;148944;5238
73;52528;86771,016;139826;5238
74;49528;85339,32;150864;5238
75;46426;88173,65;151860;5238
76;48472;88865,39;153262;5238
77;51446;88882,78;151088;5238
78;53996;89459,625;135156;5238
79;55430;90961,7;146368;5238
80;58618;92500,836;140916;5238
81;57414;93309,91;142422;5238
82;54900;94113,78;156212;5238
83;53448;94031,164;148966;5238
84;48952;93877,48;140888;5238
85;54520;95703,336;139950;5238
86;57150;95813,734;142060;5238
87;53140;97897,94;165638;5238
88;50352;100187,98;146894;5238
89;64114;100079,03;153804;5238
90;60216;99052,04;153432;5238
91;61772;100602,516;161836;5238
